endTime,artistName,trackName,msPlayed,dayOfWeek
2021-11-02 16:50:00,ZillaKami,Bleach (feat. Denzel Curry),150000,Tuesday
2021-11-02 16:52:00,ZillaKami,631 MAKES ME,68157,Tuesday
2021-11-02 16:54:00,ZillaKami,IHY,128397,Tuesday
2021-11-02 16:57:00,ZillaKami,BADASS (with Lil Uzi Vert),186217,Tuesday
2021-11-02 16:58:00,ZillaKami,Tactical Nuke Interlude,46812,Tuesday
2021-11-02 16:59:00,ZillaKami,Nissan Only,108140,Tuesday
2021-11-02 17:02:00,ZillaKami,Black Cats,99226,Tuesday
2021-11-02 17:16:00,ZillaKami,dedgrl,561,Tuesday
2021-11-03 15:26:00,ZillaKami,dedgrl,15872,Wednesday
2021-11-03 15:29:00,ZillaKami,Space Cowboy,143918,Wednesday
2021-11-03 15:31:00,ZillaKami,Bleach (feat. Denzel Curry),150000,Wednesday
2021-11-03 15:33:00,ZillaKami,Not Worth It,106892,Wednesday
2021-11-03 15:36:00,City Morgue,DRAINO (feat. Denzel Curry),202613,Wednesday
2021-11-03 15:39:00,ZillaKami,Hello,148330,Wednesday
2021-11-03 15:42:00,IC3PEAK,TRRST,183996,Wednesday
2021-11-03 15:45:00,ZillaKami,FROSTY,170370,Wednesday
2021-11-03 15:47:00,DJ Scheme,Thor's Hammer Worthy (feat. ZillaKami),123252,Wednesday
2021-11-03 15:49:00,City Morgue,33rd Blakk Glass,150266,Wednesday
2021-11-03 15:51:00,ZillaKami,Black Cats,99226,Wednesday
2021-11-03 15:54:00,City Morgue,THE FALL BEFORE THE GIVE UP (feat. Clever),148957,Wednesday
2021-11-03 15:56:00,City Morgue,BUAKAW,144475,Wednesday
2021-11-03 15:58:00,City Morgue,16 TOES,103786,Wednesday
2021-11-03 16:00:00,ZillaKami,Lemon Juice,116472,Wednesday
2021-11-03 16:02:00,City Morgue,CABIN IN THE WOODS,128917,Wednesday
2021-11-03 16:05:00,City Morgue,Gravehop187,176173,Wednesday
2021-11-03 16:07:00,City Morgue,THE GIVE UP,99292,Wednesday
2021-11-04 06:35:00,City Morgue,THE GIVE UP,49574,Thursday
2021-11-04 06:38:00,City Morgue,PROSTHETIC LEGS,143082,Thursday
2021-11-04 06:40:00,SosMula,BOOGALOO (feat. ZillaKami),125946,Thursday
2021-11-04 06:42:00,City Morgue,Aw Shit - Zillakami Solo,120000,Thursday
2021-11-04 06:44:00,City Morgue,66SLAVS,114053,Thursday
2021-11-04 06:46:00,City Morgue,ALL KILLER NO FILLER,101783,Thursday
2021-11-04 06:48:00,City Morgue,OUTER SPACE,140098,Thursday
2021-11-04 06:50:00,City Morgue,Sk8 Head,151106,Thursday
2021-11-04 06:52:00,City Morgue,CYKA,126315,Thursday
2021-11-04 06:55:00,City Morgue,YELLOW PISS,121256,Thursday
2021-11-04 06:56:00,City Morgue,MOTHER LOVER,110621,Thursday
2021-11-04 06:58:00,City Morgue,Downer,102958,Thursday
2021-11-04 07:01:00,Ramirez,Mosh Pit Killa,151428,Thursday
2021-11-04 07:03:00,City Morgue,WHAT'S MY NAME,113082,Thursday
2021-11-04 07:05:00,City Morgue,MUTT B,120000,Thursday
2021-11-04 07:07:00,City Morgue,HURTWORLD '99,135977,Thursday
2021-11-04 07:09:00,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",132666,Thursday
2021-11-04 07:12:00,Trippie Redd,DEAD DESERT (feat. Scarlxrd & ZillaKami),161333,Thursday
2021-11-04 07:14:00,City Morgue,XMAS BALLA,128825,Thursday
2021-11-04 07:17:00,City Morgue,DAWG,100346,Thursday
2021-11-04 07:19:00,Pouya,BULLETPROOF SHOWER CAP,114580,Thursday
2021-11-04 07:21:00,City Morgue,ACAB (feat. Nascar Aloe),121488,Thursday
2021-11-04 07:24:00,BurnKas,Red Rum,172641,Thursday
2021-11-04 07:27:00,ZillaKami,Space Cowboy,143918,Thursday
2021-11-04 07:29:00,ZillaKami,Bleach (feat. Denzel Curry),150000,Thursday
2021-11-04 07:31:00,ZillaKami,Not Worth It,106892,Thursday
2021-11-04 07:34:00,City Morgue,DRAINO (feat. Denzel Curry),202613,Thursday
2021-11-04 07:37:00,ZillaKami,Hello,148330,Thursday
2021-11-04 07:40:00,IC3PEAK,TRRST,183996,Thursday
2021-11-04 07:43:00,ZillaKami,FROSTY,170370,Thursday
2021-11-04 07:45:00,DJ Scheme,Thor's Hammer Worthy (feat. ZillaKami),123252,Thursday
2021-11-04 07:47:00,City Morgue,33rd Blakk Glass,150266,Thursday
2021-11-04 07:50:00,City Morgue,EVERYTHING IS BROKEN,139868,Thursday
2021-11-04 07:52:00,City Morgue,NECK BRACE,135413,Thursday
2021-11-04 07:54:00,City Morgue,SHINNERS13,102586,Thursday
2021-11-04 07:58:00,Denzel Curry,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],240213,Thursday
2021-11-04 08:00:00,City Morgue,SPLINTER,135652,Thursday
2021-11-04 08:03:00,ZillaKami,BADASS (with Lil Uzi Vert),186217,Thursday
2021-11-04 08:05:00,City Morgue,THE ELECTRIC EXPERIENCE,110757,Thursday
2021-11-04 08:07:00,City Morgue,THE BALLOONS,110946,Thursday
2021-11-04 08:08:00,ZillaKami,Black Cats,99226,Thursday
2021-11-04 08:11:00,City Morgue,THE FALL BEFORE THE GIVE UP (feat. Clever),148957,Thursday
2021-11-04 08:13:00,City Morgue,BUAKAW,144475,Thursday
2021-11-04 08:15:00,City Morgue,16 TOES,103786,Thursday
2021-11-04 08:17:00,ZillaKami,Lemon Juice,116472,Thursday
2021-11-04 08:19:00,City Morgue,CABIN IN THE WOODS,128917,Thursday
2021-11-04 08:22:00,City Morgue,Gravehop187,176173,Thursday
2021-11-04 08:25:00,City Morgue,THE GIVE UP,148866,Thursday
2021-11-04 08:36:00,City Morgue,PROSTHETIC LEGS,104874,Thursday
2021-11-04 10:26:00,83HADES,SHOTSFIRED,126827,Thursday
2021-11-04 10:29:00,83HADES,2083,188965,Thursday
2021-11-04 10:32:00,83HADES,MASS EXTINCTION,198235,Thursday
2021-11-04 10:32:00,83HADES,SNOW,10797,Thursday
2021-11-04 10:35:00,83HADES,CHOK3,174381,Thursday
2021-11-04 10:38:00,Yung Bambi,Sinister,143172,Thursday
2021-11-04 10:42:00,83HADES,DRAMA,252541,Thursday
2021-11-04 10:45:00,83HADES,CLUTCHIN,180451,Thursday
2021-11-04 10:49:00,83HADES,CRACKHEADSHIT,217154,Thursday
2021-11-04 10:52:00,83HADES,6kFR333STYLE,224288,Thursday
2021-11-04 11:03:00,Kamiyada+,SOCKS5,8173,Thursday
2021-11-04 11:23:00,Zotiyac,Gravesite,3595,Thursday
2021-11-04 11:27:00,Yung Bambi,Sinister,0,Thursday
2021-11-04 11:27:00,83HADES,DRAMA,0,Thursday
2021-11-04 11:27:00,83HADES,CHOK3,174298,Thursday
2021-11-04 11:30:00,83HADES,CLUTCHIN,179898,Thursday
2021-11-04 11:34:00,83HADES,CRACKHEADSHIT,216990,Thursday
2021-11-04 11:37:00,83HADES,6kFR333STYLE,224140,Thursday
2021-11-04 11:40:00,83HADES,CLUTCHIN,179896,Thursday
2021-11-04 11:43:00,Kamiyada+,SOCKS5,184526,Thursday
2021-11-04 11:47:00,Yung Bambi,FISHSCALE,182464,Thursday
2021-11-04 11:49:00,83HADES,FUCKEVERYONE,165815,Thursday
2021-11-04 11:53:00,83HADES,SCARFACE,223989,Thursday
2021-11-04 11:57:00,83HADES,TERROR,227724,Thursday
2021-11-04 11:59:00,83HADES,AREA83,127292,Thursday
2021-11-04 12:04:00,83HADES,BANDSK,265964,Thursday
2021-11-04 12:07:00,Citr3s,STICK TALK,178262,Thursday
2021-11-04 12:09:00,Yung Bambi,Sinister,143017,Thursday
2021-11-04 12:13:00,83HADES,CRACKHEADSHIT,217007,Thursday
2021-11-04 12:16:00,83HADES,PREZZURE,194009,Thursday
2021-11-04 12:19:00,83HADES,KILL,39968,Thursday
2021-11-04 12:19:00,83HADES,2021 PHARMACY FREESTYLE,163972,Thursday
2021-11-04 12:23:00,Anton Suda,STRESS,181644,Thursday
2021-11-04 12:25:00,83HADES,TUNNELVIZION,162270,Thursday
2021-11-04 12:28:00,Anton Suda,WELL OFF,139474,Thursday
2021-11-04 12:32:00,83HADES,WEAAPON 2,265466,Thursday
2021-11-04 12:35:00,83HADES,SHOWZ,181144,Thursday
2021-11-04 12:39:00,Auxxk,Important,198540,Thursday
2021-11-04 12:41:00,Anton Suda,GET TO IT,151442,Thursday
2021-11-04 12:45:00,83HADES,1TIME,242201,Thursday
2021-11-04 12:48:00,83HADES,FOR REAL,181654,Thursday
2021-11-04 12:52:00,83HADES,BARRY BONDS,235908,Thursday
2021-11-04 12:56:00,83HADES,QUAKE,211046,Thursday
2021-11-04 12:59:00,83HADES,83SHADES,207790,Thursday
2021-11-04 13:03:00,GlimmerXP,WORLD DOMINATION +,201444,Thursday
2021-11-04 13:05:00,Kill Stacy,PERSEUS,146004,Thursday
2021-11-04 13:09:00,83HADES,ART OF WAR,235310,Thursday
2021-11-04 13:14:00,83HADES,DO NOT RESUSCITATE (feat. Kamiyada+),283664,Thursday
2021-11-04 13:18:00,83HADES,JUMP (feat. Kamiyada+),225626,Thursday
2021-11-04 13:22:00,83HADES,WORLD DOMINATION (feat. Kamiyada+),222134,Thursday
2021-11-04 13:24:00,Kay P,CREEPIN,109847,Thursday
2021-11-04 13:27:00,83HADES,MASS EXTINCTION,198183,Thursday
2021-11-04 13:31:00,83HADES,M4H,221345,Thursday
2021-11-04 13:35:00,83HADES,RUNTZ FREESTYLE,229784,Thursday
2021-11-04 13:36:00,PPV TY,BANANA SPLIT,113559,Thursday
2021-11-05 08:48:00,Kamiyada+,SOCKS5,162643,Friday
2021-11-05 08:56:00,Kamiyada+,SOCKS5,15235,Friday
2021-11-05 08:59:00,Yung Bambi,FISHSCALE,182721,Friday
2021-11-05 09:02:00,83HADES,FUCKEVERYONE,166070,Friday
2021-11-05 09:06:00,83HADES,SCARFACE,224163,Friday
2021-11-05 09:09:00,83HADES,TERROR,227974,Friday
2021-11-05 09:12:00,83HADES,AREA83,127552,Friday
2021-11-05 09:16:00,83HADES,BANDSK,266194,Friday
2021-11-05 09:20:00,Citr3s,STICK TALK,178284,Friday
2021-11-05 09:24:00,83HADES,PREZZURE,194142,Friday
2021-11-05 09:26:00,83HADES,2021 PHARMACY FREESTYLE,164120,Friday
2021-11-05 09:27:00,83HADES,KILL,40682,Friday
2021-11-05 09:30:00,Anton Suda,STRESS,181745,Friday
2021-11-05 09:34:00,83HADES,TUNNELVIZION,162401,Friday
2021-11-05 09:37:00,Anton Suda,WELL OFF,139488,Friday
2021-11-05 09:41:00,83HADES,WEAAPON 2,265591,Friday
2021-11-05 09:42:00,83HADES,SHOWZ,52623,Friday
2021-11-05 09:45:00,Auxxk,Important,198750,Friday
2021-11-05 09:48:00,Anton Suda,GET TO IT,151519,Friday
2021-11-05 10:00:00,83HADES,1TIME,100090,Friday
2021-11-06 04:50:00,Zotiyac,Storm Is Coming,132259,Saturday
2021-11-06 04:54:00,OG BURIALGROUND,Gang Tapes,219130,Saturday
2021-11-06 04:57:00,Ghostface Playa,CYA,144500,Saturday
2021-11-06 04:59:00,internetboy,Chess Board,154482,Saturday
2021-11-06 05:03:00,Otis McDonald,#quarantune,215993,Saturday
2021-11-06 05:05:00,Pharmacist,Wanna Test,108013,Saturday
2021-11-06 05:07:00,PokemonBagBruh,Spirit Realm,145076,Saturday
2021-11-06 05:09:00,Original God,Serpentine,150909,Saturday
2021-11-06 05:12:00,CHRIST DILLINGER,ALASKA,123578,Saturday
2021-11-06 05:16:00,83HADES,BANDSK,266194,Saturday
2021-11-06 05:19:00,dollbreaker,leave em dead,158500,Saturday
2021-11-06 05:21:00,XZARKHAN,Shadows of the Empire,148500,Saturday
2021-11-06 05:22:00,Joey Trap,KRYPTONITE,63995,Saturday
2021-11-06 05:24:00,ONI INC.,We're Gonna Need More Ammo,112802,Saturday
2021-11-06 05:27:00,SpotemGottem,SRT,150884,Saturday
2021-11-06 05:30:00,Malik Moses,Show Me Something,197043,Saturday
2021-11-06 05:32:00,Chief $upreme,One For The Money (feat. Lil Wayne),150141,Saturday
2021-11-06 05:34:00,Sinizter,AGONY,119212,Saturday
2021-11-06 05:38:00,Whethan,2 MUCH (feat. Jasiah & KA$HDAMI),194120,Saturday
2021-11-06 05:41:00,PE$O PETE,MONSTER TRIO,211999,Saturday
2021-11-06 05:43:00,Wvllop,Whimper,130714,Saturday
2021-11-06 05:45:00,Aspekt,CALAMITY,125760,Saturday
2021-11-06 05:48:00,SwuM,High,142014,Saturday
2021-11-06 05:50:00,Bobby Shmurda,Cartier Lens,136256,Saturday
2021-11-06 05:52:00,Warlord Colossus,Goblin Graves,131983,Saturday
2021-11-06 05:55:00,XANAKIN SKYWOK,Ew!,145776,Saturday
2021-11-06 05:56:00,Quadeca,Dasani (feat. DC The Don and SEBii),78915,Saturday
2021-11-06 06:55:00,Quadeca,Dasani (feat. DC The Don and SEBii),120620,Saturday
2021-11-06 06:59:00,Underoath,Cycle [Feat. Ghostemane],253377,Saturday
2021-11-06 07:02:00,Lil Boodang,THE WOMAN MADE OF MIRROR,176551,Saturday
2021-11-06 07:04:00,Kayykilo,Yeah B*tch (feat. DaBaby),132493,Saturday
2021-11-06 07:06:00,Zotiyac,Storm Is Coming,132259,Saturday
2021-11-06 07:10:00,OG BURIALGROUND,Gang Tapes,219130,Saturday
2021-11-06 07:13:00,Ghostface Playa,CYA,144500,Saturday
2021-11-06 07:15:00,internetboy,Chess Board,154482,Saturday
2021-11-06 07:19:00,Otis McDonald,#quarantune,215993,Saturday
2021-11-06 07:21:00,Pharmacist,Wanna Test,108013,Saturday
2021-11-06 07:23:00,PokemonBagBruh,Spirit Realm,145076,Saturday
2021-11-06 07:25:00,Original God,Serpentine,150909,Saturday
2021-11-06 07:29:00,CHRIST DILLINGER,ALASKA,123578,Saturday
2021-11-06 07:33:00,83HADES,BANDSK,266194,Saturday
2021-11-06 07:36:00,dollbreaker,leave em dead,158500,Saturday
2021-11-06 07:37:00,XZARKHAN,Shadows of the Empire,65122,Saturday
2021-11-06 09:30:00,Joey Trap,KRYPTONITE,6466,Saturday
2021-11-06 09:30:00,XZARKHAN,Shadows of the Empire,7866,Saturday
2021-11-06 09:30:00,ONI INC.,We're Gonna Need More Ammo,4717,Saturday
2021-11-06 09:32:00,SpotemGottem,SRT,150884,Saturday
2021-11-06 09:36:00,Malik Moses,Show Me Something,197043,Saturday
2021-11-06 09:47:00,Chief $upreme,One For The Money (feat. Lil Wayne),78149,Saturday
2021-11-06 10:49:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Saturday
2021-11-06 10:52:00,JPEGMAFIA,Kenan Vs. Kel,181113,Saturday
2021-11-06 10:55:00,JPEGMAFIA,Beta Male Strategies,198008,Saturday
2021-11-06 10:56:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Saturday
2021-11-06 10:59:00,JPEGMAFIA,Grimy Waifu,175201,Saturday
2021-11-06 11:02:00,JPEGMAFIA,PTSD,148396,Saturday
2021-11-06 11:04:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Saturday
2021-11-06 11:08:00,JPEGMAFIA,All My Heroes Are Cornballs,203804,Saturday
2021-11-06 11:09:00,JPEGMAFIA,BBW,96081,Saturday
2021-11-06 11:12:00,JPEGMAFIA,PRONE!,162000,Saturday
2021-11-06 11:13:00,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625,Saturday
2021-11-06 11:16:00,JPEGMAFIA,Thot Tactics,170360,Saturday
2021-11-06 11:19:00,JPEGMAFIA,Free The Frail,210569,Saturday
2021-11-06 11:23:00,JPEGMAFIA,Post Verified Lifestyle,215470,Saturday
2021-11-06 11:24:00,JPEGMAFIA,BasicBitchTearGas,75969,Saturday
2021-11-06 11:26:00,JPEGMAFIA,DOTS FREESTYLE REMIX,127604,Saturday
2021-11-06 11:28:00,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261,Saturday
2021-11-06 11:32:00,JPEGMAFIA,Papi I Missed U,242175,Saturday
2021-11-06 11:34:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Saturday
2021-11-06 11:37:00,JPEGMAFIA,Kenan Vs. Kel,181113,Saturday
2021-11-06 11:41:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Saturday
2021-11-06 11:41:00,JPEGMAFIA,Beta Male Strategies,198008,Saturday
2021-11-06 11:44:00,JPEGMAFIA,Grimy Waifu,175201,Saturday
2021-11-06 11:47:00,JPEGMAFIA,PTSD,148396,Saturday
2021-11-06 11:50:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Saturday
2021-11-06 11:53:00,JPEGMAFIA,All My Heroes Are Cornballs,203804,Saturday
2021-11-06 11:55:00,JPEGMAFIA,BBW,96081,Saturday
2021-11-06 11:57:00,JPEGMAFIA,PRONE!,162000,Saturday
2021-11-06 11:58:00,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625,Saturday
2021-11-06 12:01:00,JPEGMAFIA,Thot Tactics,170360,Saturday
2021-11-06 12:05:00,JPEGMAFIA,Free The Frail,210569,Saturday
2021-11-06 12:08:00,JPEGMAFIA,Post Verified Lifestyle,215470,Saturday
2021-11-06 12:10:00,JPEGMAFIA,BasicBitchTearGas,75969,Saturday
2021-11-06 12:12:00,JPEGMAFIA,DOTS FREESTYLE REMIX,127604,Saturday
2021-11-06 12:13:00,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261,Saturday
2021-11-06 12:17:00,JPEGMAFIA,Papi I Missed U,242175,Saturday
2021-11-06 12:20:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Saturday
2021-11-06 12:31:00,JPEGMAFIA,Kenan Vs. Kel,57253,Saturday
2021-11-07 06:04:00,JPEGMAFIA,Kenan Vs. Kel,124096,Sunday
2021-11-07 06:07:00,JPEGMAFIA,Beta Male Strategies,198008,Sunday
2021-11-07 06:08:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Sunday
2021-11-07 06:11:00,JPEGMAFIA,Grimy Waifu,175201,Sunday
2021-11-07 06:13:00,JPEGMAFIA,PTSD,148396,Sunday
2021-11-07 06:16:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Sunday
2021-11-07 06:20:00,JPEGMAFIA,All My Heroes Are Cornballs,203804,Sunday
2021-11-07 06:21:00,JPEGMAFIA,BBW,96081,Sunday
2021-11-07 06:24:00,JPEGMAFIA,PRONE!,162000,Sunday
2021-11-07 06:25:00,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625,Sunday
2021-11-07 06:28:00,JPEGMAFIA,Thot Tactics,170360,Sunday
2021-11-07 06:31:00,JPEGMAFIA,Free The Frail,210569,Sunday
2021-11-07 06:35:00,JPEGMAFIA,Post Verified Lifestyle,215470,Sunday
2021-11-07 06:36:00,JPEGMAFIA,BasicBitchTearGas,75969,Sunday
2021-11-07 06:38:00,JPEGMAFIA,DOTS FREESTYLE REMIX,127604,Sunday
2021-11-07 06:39:00,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261,Sunday
2021-11-07 06:43:00,JPEGMAFIA,Papi I Missed U,242175,Sunday
2021-11-07 06:46:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Sunday
2021-11-07 06:49:00,JPEGMAFIA,Kenan Vs. Kel,181113,Sunday
2021-11-07 06:52:00,JPEGMAFIA,Beta Male Strategies,198008,Sunday
2021-11-07 06:53:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Sunday
2021-11-07 06:56:00,JPEGMAFIA,Grimy Waifu,175201,Sunday
2021-11-07 06:59:00,JPEGMAFIA,PTSD,148396,Sunday
2021-11-07 07:02:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Sunday
2021-11-07 07:05:00,JPEGMAFIA,All My Heroes Are Cornballs,203804,Sunday
2021-11-07 07:07:00,JPEGMAFIA,BBW,96081,Sunday
2021-11-07 07:09:00,JPEGMAFIA,PRONE!,162000,Sunday
2021-11-07 07:10:00,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625,Sunday
2021-11-07 07:13:00,JPEGMAFIA,Thot Tactics,170360,Sunday
2021-11-07 07:17:00,JPEGMAFIA,Free The Frail,210569,Sunday
2021-11-07 07:20:00,JPEGMAFIA,Post Verified Lifestyle,215470,Sunday
2021-11-07 07:21:00,JPEGMAFIA,BasicBitchTearGas,75969,Sunday
2021-11-07 07:24:00,JPEGMAFIA,DOTS FREESTYLE REMIX,127604,Sunday
2021-11-07 07:25:00,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261,Sunday
2021-11-07 07:29:00,JPEGMAFIA,Papi I Missed U,242175,Sunday
2021-11-07 07:31:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Sunday
2021-11-07 07:34:00,JPEGMAFIA,Kenan Vs. Kel,181113,Sunday
2021-11-07 07:38:00,JPEGMAFIA,Beta Male Strategies,198008,Sunday
2021-11-07 07:39:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Sunday
2021-11-07 07:42:00,JPEGMAFIA,Grimy Waifu,175201,Sunday
2021-11-07 07:44:00,JPEGMAFIA,PTSD,148396,Sunday
2021-11-07 07:47:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Sunday
2021-11-07 07:50:00,JPEGMAFIA,All My Heroes Are Cornballs,203804,Sunday
2021-11-07 07:52:00,JPEGMAFIA,BBW,96081,Sunday
2021-11-07 07:55:00,JPEGMAFIA,PRONE!,162000,Sunday
2021-11-07 07:56:00,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625,Sunday
2021-11-07 07:58:00,JPEGMAFIA,Thot Tactics,170360,Sunday
2021-11-07 08:02:00,JPEGMAFIA,Free The Frail,210569,Sunday
2021-11-07 08:05:00,JPEGMAFIA,Post Verified Lifestyle,215470,Sunday
2021-11-07 08:07:00,JPEGMAFIA,BasicBitchTearGas,75969,Sunday
2021-11-07 08:09:00,JPEGMAFIA,DOTS FREESTYLE REMIX,127604,Sunday
2021-11-07 08:10:00,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261,Sunday
2021-11-07 08:14:00,JPEGMAFIA,Papi I Missed U,242175,Sunday
2021-11-07 08:17:00,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533,Sunday
2021-11-07 08:20:00,JPEGMAFIA,Kenan Vs. Kel,181113,Sunday
2021-11-07 08:23:00,JPEGMAFIA,Beta Male Strategies,198008,Sunday
2021-11-07 08:24:00,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929,Sunday
2021-11-07 08:27:00,JPEGMAFIA,Grimy Waifu,175201,Sunday
2021-11-07 08:29:00,JPEGMAFIA,PTSD,148396,Sunday
2021-11-07 08:32:00,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572,Sunday
2021-11-07 08:46:00,JPEGMAFIA,All My Heroes Are Cornballs,193702,Sunday
2021-11-07 08:49:00,internetboy,mars man,127320,Sunday
2021-11-07 08:52:00,internetboy,LoveIsBlue&green,179983,Sunday
2021-11-07 08:55:00,DrownMili,War Outside,216540,Sunday
2021-11-07 08:59:00,Kamiyada+,3 AM,204029,Sunday
2021-11-07 09:02:00,Cresylic,action,198530,Sunday
2021-11-07 09:04:00,internetboy,three ho's,103140,Sunday
2021-11-07 09:07:00,Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",231618,Sunday
2021-11-07 09:11:00,CHRIST DILLINGER,Desperado,189474,Sunday
2021-11-07 09:12:00,gizmo,Rampage,78756,Sunday
2021-11-07 09:16:00,Afourteen,Suburban Sociopath,234794,Sunday
2021-11-07 09:18:00,JGRXXN,Monster,141120,Sunday
